timestamp,driver_alive,host_mem_available_kib,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct
2026-08-28T03:02:21+00:00,1,232479264,57871,2,56613,0
2026-08-28T03:03:21+00:00,1,1237189888,1203,0,1203,0
2026-08-28T03:04:21+00:00,1,1208402280,2826,2,4594,0
2026-08-28T03:05:21+00:00,1,1205610428,14955,0,15796,3
2026-08-28T03:06:22+00:00,1,1192146384,23180,0,23566,0
2026-08-28T03:07:22+00:00,1,1189674688,31061,0,31447,0
2026-08-28T03:08:22+00:00,1,1177480140,39286,2,39929,3
2026-08-28T03:09:22+00:00,1,1170299284,49234,88,49526,22
2026-08-28T03:10:22+00:00,1,1169079820,49236,90,49528,0
2026-08-28T03:11:22+00:00,1,1161823336,25111,4,25403,0
2026-08-28T03:12:23+00:00,1,1150163352,30061,0,30703,0
2026-08-28T03:13:23+00:00,1,1139679960,38077,5,38463,0
2026-08-28T03:14:23+00:00,1,1124640032,47971,0,48359,0
2026-08-28T03:15:23+00:00,1,1121277864,50201,58,50237,17
2026-08-28T03:16:23+00:00,1,1121263404,37404,2,38544,2
2026-08-28T03:17:23+00:00,1,1113720776,36963,0,36487,1
2026-08-28T03:18:24+00:00,1,1100913316,39551,0,38873,0
2026-08-28T03:19:24+00:00,1,1091986744,43727,0,42793,0
2026-08-28T03:20:24+00:00,1,1091728312,50307,0,50047,3
2026-08-28T03:21:24+00:00,1,1091636592,50307,95,50599,1
2026-08-28T03:22:24+00:00,1,1091211884,47635,0,44351,0
2026-08-28T03:23:24+00:00,1,1091997312,39697,2,40233,0
2026-08-28T03:24:25+00:00,1,1092009392,42281,0,42665,27
2026-08-28T03:25:25+00:00,1,1091383768,44765,0,45097,0
2026-08-28T03:26:25+00:00,1,1091905204,49197,0,51017,0
2026-08-28T03:27:25+00:00,1,1091159736,51075,64,51367,0
2026-08-28T03:28:25+00:00,1,1084550488,51075,92,39045,0
2026-08-28T03:29:25+00:00,1,1088757160,28547,0,28583,0
2026-08-28T03:30:26+00:00,1,1073975584,30925,3,31163,0
2026-08-28T03:31:26+00:00,1,1061703176,33867,2,33903,0
2026-08-28T03:32:26+00:00,1,1047462888,41713,2,42005,16
2026-08-28T03:33:26+00:00,1,1040271208,50997,100,51289,99
2026-08-28T03:34:26+00:00,1,1039884388,50997,0,51289,0
2026-08-28T03:35:26+00:00,1,1040239408,39583,0,39619,0
